"country","year","diet_energy_supply","gdp_per_capita","political_stability","food_supply_variability","safe_water_access","basic_water_access","basic_sanitation_access","percentage_of_children_under_5_years_of_age_who_are_stunted_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_stunted_modeled_estimates_million","percentage_of_children_under_5_years_of_age_who_are_overweight_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_overweight_modeled_estimates_million","prevalence_of_obesity_in_the_adult_population_18_years_and_older_percent","number_of_obese_adults_18_years_and_older_million","prevalence_of_anemia_among_women_of_reproductive_age_1549_years_percent","number_of_women_of_reproductive_age_1549_years_affected_by_anemia_million","minimum_dietary_energy_requirement_kcalcapday","average_dietary_energy_requirement_kcalcapday","coefficient_of_variation_of_habitual_caloric_consumption_distribution_real_number","incidence_of_caloric_losses_at_retail_distribution_level_percent","percentage_of_population_using_safely_managed_sanitation_services_percent","prevalence_of_low_birthweight_percent","number_of_newborns_with_low_birthweight_million"
"Afghanistan",2017,2311,2956.8,-2.79,26,26,68,48,38.3,2.3,4.4,0.3,14.3,2.4,40.9,3.4,1650,2121,0.32,2.7,NA,NA,NA
"Afghanistan",2018,2265,2906.8,-2.75,27,27,71,49,37.2,2.3,4.2,0.3,15.3,2.7,41.8,3.6,1652,2125,0.33,2.59,NA,NA,NA
"Afghanistan",2019,2228,2934,-2.65,32,28,74,51,36.1,2.3,4.1,0.3,16.2,3,42.6,3.8,1656,2129,0.33,2.66,NA,NA,NA
"Afghanistan",2020,2266,2776.6,-2.7,33,28,77,53,35.1,2.2,4,0.3,17.2,3.3,NA,NA,1659,2134,0.37,2.67,NA,NA,NA
"Afghanistan",2021,2240,2138.9,-2.52,32,29,80,54,34,2.2,3.8,0.2,18.2,3.6,NA,NA,1662,2138,0.4,2.63,NA,NA,NA
"Afghanistan",2022,2244,NA,-2.55,31,30,82,56,33.1,2.2,3.7,0.2,19.2,3.9,NA,NA,1664,2140,0.4,2.63,NA,NA,NA
"Albania",2017,3378,14229.3,0.37,46,71,94,98,11.9,0.1,16,0.1,20.2,0.5,24.2,0.2,1915,2490,0.29,2.72,46,5.9,0.1
"Albania",2018,3352,14837.8,0.37,27,71,94,99,11.1,0.1,15,0.1,20.8,0.5,24.5,0.2,1915,2490,0.3,2.71,48,6,0.1
"Albania",2019,3375,15212.2,0.11,15,71,95,99,10.3,0.1,14.3,0.1,21.4,0.5,24.8,0.2,1915,2489,0.29,2.81,50,6,0.1
"Albania",2020,3349,14794.6,0.09,14,71,95,99,9.5,0.1,13.9,0.1,22,0.5,NA,NA,1915,2488,0.29,2.85,53,6,0.1
"Albania",2021,3330,16262.7,0.2,16,71,95,99,8.8,0.1,13.6,0.1,22.7,0.5,NA,NA,1915,2489,0.29,2.95,54,NA,NA
"Albania",2022,3390,17261,0.11,13,71,95,99,8.3,0.1,13.4,0.1,23.4,0.5,NA,NA,1916,2490,0.29,2.95,56,NA,NA
