"country","year","energy_supply","protein_supply","fat_supply","carbohydrate_supply","dietary_fibre_supply","calcium_supply","iron_supply","zinc_supply","magnesium_supply","phosphorus_supply","potassium_supply","thiamin_supply","riboflavin_supply","vitamin_c_supply","vitamin_a_supply_retinol_equivalents","vitamin_a_supply_retinol_activity_equivalents","copper_supply","docosahexaenoic_acid_supply","vitamin_b6_supply","eicosapentaenoic_acid_supply","selenium_supply","vitamin_b12_supply","total_saturated_fatty_acids_supply","total_monounsaturated_fatty_acids_supply","total_polyunsaturated_fatty_acids_supply"
"Afghanistan",2017,2310,65.4,40.8,390.6,28.5,464,12.8,8.62,327,1043,2084,1.37,0.87,57,486,336,0,0,0,0,0,0.02,0.01,0.01,0.01
"Afghanistan",2018,2264,62.9,42.1,380,27,445,12.1,8.24,312,998,1918,1.31,0.82,53,436,307,0,0,0,0,0,0.02,0.01,0.01,0.01
"Afghanistan",2019,2227,61,41.9,373.3,27,447,12.1,7.98,313,967,1989,1.29,0.79,58,509,333,0,0,0,0,0,0.02,0.01,0.01,0.01
"Afghanistan",2020,2266,63.4,42,379.5,28.4,490,13.2,8.46,332,1006,2114,1.33,0.85,69,645,412,0,0,0,0,0,0.03,0.01,0.02,0.01
"Afghanistan",2021,2240,61.2,41.9,376.4,27.1,420,11.9,8.11,309,979,1955,1.29,0.79,56,465,313,0,0,0,0,0,0.03,0.01,0.01,0.01
"Afghanistan",2022,2244,61,45.2,369.9,27.2,425,12,8.2,315,985,1943,1.32,0.76,51,420,283,0,0,0,0,0,0.03,0.01,0.01,0.01
"Albania",2017,3378,117.1,118.9,426.7,43.7,1761,18.8,15.42,513,2274,5412,2,2.97,277,1730,1289,0.04,0.06,0.03,0.04,6,0.72,0.16,0.25,0.18
"Albania",2018,3352,115.3,117.2,425.9,43.6,1755,18.8,15.31,514,2249,5389,1.96,2.95,269,1756,1307,0.04,0.07,0.04,0.05,6,0.87,0.19,0.3,0.22
"Albania",2019,3375,118.4,115.2,433.8,45.6,1801,19.8,15.74,539,2316,5688,2.05,3.08,294,1919,1402,0.04,0.06,0.03,0.04,5,0.76,0.15,0.23,0.17
"Albania",2020,3350,115.3,111.9,437.3,46.8,1730,20,15.33,536,2241,5671,2.02,2.97,307,1924,1391,0.04,0.06,0.03,0.04,5,0.76,0.15,0.23,0.17
"Albania",2021,3330,115.7,107.8,440.8,47.9,1707,20.1,15.96,550,2282,5742,2.14,2.96,306,1835,1295,0.04,0.06,0.03,0.04,5,0.76,0.15,0.23,0.17
"Albania",2022,3390,119.5,118.4,426.9,47.5,1736,20.9,16.39,562,2334,5983,2.14,3.06,315,2059,1466,0.04,0.06,0.03,0.04,5,0.76,0.15,0.23,0.17
"Algeria",2017,3384,91.9,101.6,500.4,47.5,925,18.4,12.49,482,1686,4230,1.91,1.73,181,950,632,0.01,0.03,0.02,0.02,3,0.35,0.08,0.11,0.08
"Algeria",2018,3382,94,92.1,517.7,50.5,889,19.4,12.91,500,1711,4313,2,1.7,188,945,619,0.01,0.04,0.02,0.02,3,0.37,0.09,0.12,0.09
"Algeria",2019,3462,95.1,96.9,525.5,51,914,19.5,13.05,507,1735,4367,2.02,1.74,200,960,628,0.01,0.03,0.02,0.02,3,0.34,0.08,0.11,0.09
"Algeria",2020,3504,94.1,100.4,529.7,51,923,19.5,12.93,508,1719,4362,2.01,1.73,206,1054,678,0.01,0.03,0.02,0.01,2,0.26,0.07,0.09,0.07
"Algeria",2021,3499,95.4,99,529.7,51.3,889,19.9,13.89,523,1764,4357,2.14,1.71,180,1029,662,0.01,0.02,0.01,0.01,2,0.26,0.06,0.08,0.07
"Algeria",2022,3468,95.7,98,524,51.3,917,19.8,13.94,522,1782,4356,2.14,1.75,187,1048,673,0.01,0.02,0.01,0.01,2,0.26,0.06,0.08,0.07
"Angola",2017,2452,53,58.6,395.4,38.7,414,13,9.74,380,962,3115,1.4,0.84,168,834,492,0.02,0.15,0.08,0.08,12,1.53,0.38,0.54,0.37
"Angola",2018,2452,52,55.9,402.8,39.1,412,13.1,9.75,380,952,3094,1.4,0.84,167,830,497,0.02,0.11,0.06,0.07,8,1.1,0.29,0.45,0.29
"Angola",2019,2427,48.7,54.5,402.9,38.4,385,12.6,9.44,373,917,3006,1.36,0.77,162,798,462,0.02,0.12,0.07,0.07,9,1.29,0.31,0.43,0.29
"Angola",2020,2392,46.7,51.4,404.9,38.7,395,12.7,9.2,373,899,2989,1.35,0.72,159,769,444,0.01,0.09,0.05,0.05,7,1,0.24,0.33,0.22
"Angola",2021,2408,49.2,51.2,405.2,41,424,13.5,9.47,387,940,3241,1.4,0.76,187,989,553,0.02,0.13,0.07,0.08,10,1.43,0.34,0.49,0.32
"Angola",2022,2441,50,52.8,408.1,41.6,430,13.5,9.81,388,952,3287,1.42,0.78,195,990,566,0.02,0.13,0.07,0.08,10,1.43,0.34,0.49,0.32
"Antigua and Barbuda",2017,2435,94.8,93.1,269.9,27.4,730,14.1,10.85,364,1490,3170,1.29,1.65,198,1119,816,0.13,0.4,0.18,0.27,31,4.28,1.03,1.73,1.2
"Antigua and Barbuda",2018,2475,94.7,94.8,273.3,29,751,15,10.98,374,1506,3238,1.32,1.66,202,1171,851,0.14,0.39,0.18,0.26,31,4.34,1.02,1.71,1.17
"Antigua and Barbuda",2019,2455,92.8,92.4,274.3,27.3,740,14.2,10.69,362,1484,3093,1.28,1.7,207,1098,827,0.14,0.39,0.18,0.26,30,4.27,1.01,1.7,1.18
"Antigua and Barbuda",2020,2429,89.1,92.8,275.2,23,665,11.8,9.86,335,1410,2736,1.18,1.61,196,869,695,0.14,0.39,0.18,0.26,30,4.27,1.01,1.7,1.18
"Antigua and Barbuda",2021,2444,94.9,97.3,265.1,26.7,724,14.4,10.9,355,1492,3052,1.3,1.74,202,1036,796,0.14,0.39,0.18,0.26,30,4.27,1.01,1.7,1.18
"Antigua and Barbuda",2022,2460,96.4,96.8,265.5,26.3,695,14.4,11.05,357,1493,3086,1.31,1.76,210,1042,801,0.14,0.39,0.18,0.26,30,4.27,1.01,1.7,1.18
"Argentina",2017,3195,110.4,115.9,393.4,26.2,748,15.2,14.28,371,1614,3226,1.52,1.59,109,1119,859,0.04,0.04,0.02,0.02,5,0.51,0.09,0.12,0.11
"Argentina",2018,3238,113.2,118.7,393.4,26.7,738,16.1,14.7,378,1648,3249,1.57,1.65,112,1368,1108,0.04,0.03,0.02,0.02,5,0.49,0.09,0.12,0.11
"Argentina",2019,3270,114.8,127.3,381.3,26.9,825,16.6,14.51,370,1650,3378,1.63,2,112,1364,1113,0.03,0.03,0.02,0.02,4,0.42,0.08,0.11,0.09
"Argentina",2020,3309,118,131.3,382.8,27.4,849,16.9,15.1,383,1713,3505,1.65,2.03,105,1402,1141,0.04,0.03,0.02,0.02,5,0.52,0.09,0.12,0.1
"Argentina",2021,3345,120.1,136.7,373,30.3,906,17.5,15.3,412,1788,3761,1.75,2.08,129,1402,1140,0.03,0.03,0.02,0.02,5,0.51,0.09,0.12,0.11
"Argentina",2022,3347,120.6,137.6,372.1,29.5,871,17.5,15.2,396,1747,3559,1.74,2.06,111,1417,1157,0.03,0.03,0.02,0.02,5,0.51,0.09,0.12,0.11
"Armenia",2017,3133,107.8,110.8,400.5,42.5,1479,22.4,14.93,543,1964,5159,1.94,2.55,211,2515,1701,0.01,0.05,0.03,0.03,3,0.46,0.14,0.21,0.14
"Armenia",2018,3177,106.2,110.3,415.6,39.2,1300,20.5,14.6,498,1896,4526,1.9,2.31,169,2074,1469,0.01,0.05,0.03,0.03,3,0.44,0.14,0.21,0.14
"Armenia",2019,3230,107.6,114.8,416.5,39.2,1307,20.4,14.71,500,1913,4634,1.89,2.32,178,2009,1434,0.01,0.04,0.03,0.03,3,0.43,0.14,0.21,0.14
"Armenia",2020,3216,107.3,110.3,423.5,40.7,1292,20.9,14.73,509,1910,4686,1.93,2.33,182,2112,1511,0.01,0.04,0.02,0.02,3,0.36,0.11,0.17,0.12
"Armenia",2021,3228,108.9,114.2,415.7,40,1306,19.9,14.89,500,1949,4759,1.92,2.37,182,1988,1424,0.01,0.04,0.02,0.02,3,0.39,0.12,0.18,0.13
"Armenia",2022,3277,109.6,117.6,419.8,41.3,1334,20.8,15.1,516,1975,4864,1.98,2.41,191,2107,1479,0.01,0.04,0.02,0.02,3,0.39,0.12,0.18,0.13
"Australia",2017,3493,118.1,159.7,353.2,24,1152,16.4,15.49,423,2007,3849,1.75,2.24,107,1577,1314,0.09,0.14,0.08,0.08,15,1.59,0.37,0.53,0.47
"Australia",2018,3470,118.9,160.4,345.9,23.8,1167,16.1,15.55,422,2018,3846,1.74,2.25,107,1573,1321,0.09,0.15,0.09,0.09,15,1.66,0.39,0.57,0.49
"Australia",2019,3502,122.2,160.7,348.5,26,1242,16.8,15.91,442,2117,3977,1.92,2.35,102,1576,1316,0.08,0.14,0.08,0.08,14,1.54,0.36,0.53,0.46
"Australia",2020,3478,124.2,155.8,348.8,25.8,1212,17.2,16.41,447,2120,4018,1.87,2.35,104,1560,1316,0.08,0.13,0.08,0.08,14,1.48,0.35,0.52,0.45
"Australia",2021,3479,118,157.4,347.1,26.4,1182,16.4,15.34,443,2053,3990,1.87,2.24,111,1428,1168,0.09,0.14,0.08,0.08,14,1.6,0.36,0.53,0.45
"Australia",2022,3471,116.6,159.6,337.2,26.4,1065,16.6,15.21,439,1956,3812,1.78,2.05,107,1453,1199,0.09,0.14,0.08,0.08,14,1.6,0.36,0.53,0.45
"Austria",2017,3753,107.8,171.5,389.6,30.8,958,15.7,14.37,427,1770,3508,1.98,1.72,123,1337,1025,0.03,0.09,0.05,0.05,8,0.8,0.26,0.4,0.35
"Austria",2018,3754,110.5,170.1,391.1,31.4,988,16.2,14.78,439,1820,3584,2.01,1.81,125,1451,1154,0.03,0.09,0.05,0.05,8,0.79,0.26,0.4,0.35
"Austria",2019,3813,110.3,183.3,377.3,32.5,1024,16.6,14.8,444,1837,3672,2.01,1.89,136,1619,1299,0.03,0.09,0.05,0.05,8,0.8,0.26,0.4,0.35
"Austria",2020,3776,109.2,182.9,370.7,31.5,1173,16,14.87,460,1944,3873,2.03,2.12,125,1481,1184,0.03,0.08,0.05,0.05,7,0.75,0.24,0.37,0.33
"Austria",2021,3790,108.5,183.2,373.5,31.4,1099,16,14.66,446,1880,3631,1.98,1.97,122,1511,1210,0.03,0.1,0.06,0.06,8,0.85,0.27,0.42,0.38
"Austria",2022,3816,111.9,184.4,373.1,32,1079,16.6,14.92,450,1883,3648,1.99,1.98,120,1578,1264,0.03,0.1,0.06,0.06,8,0.85,0.27,0.42,0.38
"Azerbaijan",2017,3084,93,78.4,456.8,36.5,809,16.2,12.23,426,1579,3598,1.71,1.56,198,1066,850,0,0.02,0.01,0.01,2,0.24,0.06,0.09,0.07
"Azerbaijan",2018,3150,92.8,84.4,459.5,37.3,835,16.4,12.27,433,1587,3689,1.71,1.6,203,1137,890,0,0.02,0.01,0.01,1,0.15,0.05,0.07,0.05
"Azerbaijan",2019,3262,96.1,86.8,477.5,39.4,874,17.2,12.71,453,1652,3964,1.78,1.68,214,1208,933,0,0.02,0.01,0.01,1,0.15,0.04,0.06,0.05
"Azerbaijan",2020,3345,97.9,91.2,484.9,40.1,893,17.6,13,464,1689,4057,1.81,1.73,219,1227,955,0,0.02,0.01,0.01,1,0.15,0.05,0.07,0.06
"Azerbaijan",2021,3356,98.5,98.3,481,41.4,893,18.1,13.32,463,1689,4120,1.84,1.73,222,1278,994,0,0.02,0.01,0.01,1,0.17,0.05,0.07,0.06
