"country","unit","year","total population - both sexes (1000 no)","total population - male (1000 no)","total population - female (1000 no)","rural population (1000 no)","urban population (1000 no)"
"Afghanistan","1000 No",2017,35688.935,18038.999,17649.936,26558.609,8971.472
"Afghanistan","1000 No",2018,36743.039,18564.622,18178.417,27099.874,9273.302
"Afghanistan","1000 No",2019,37856.121,19119.647,18736.474,27626.382,9582.625
"Afghanistan","1000 No",2020,39068.979,19725.45,19343.528,28150.604,9904.337
"Afghanistan","1000 No",2021,40000.412,20186.456,19813.956,28674.023,10239.684
"Afghanistan","1000 No",2022,40578.842,20475.675,20103.167,29191.512,10587.583
"Albania","1000 No",2017,2898.242,1434.442,1463.801,1190.155,1740.032
"Albania","1000 No",2018,2894.231,1432.571,1461.66,1164.388,1769.975
"Albania","1000 No",2019,2885.01,1428.169,1456.841,1139.266,1799.162
"Albania","1000 No",2020,2871.954,1421.407,1450.547,1114.672,1827.362
"Albania","1000 No",2021,2849.635,1409.655,1439.981,1090.487,1854.317
"Albania","1000 No",2022,2827.608,1398.267,1429.341,1066.667,1879.873
"Algeria","1000 No",2017,41689.299,21316.232,20373.068,11547.532,29770.61
"Algeria","1000 No",2018,42505.035,21724.796,20780.238,11498.038,30510.016
"Algeria","1000 No",2019,43294.546,22118.792,21175.753,11442.587,31236.431
"Algeria","1000 No",2020,44042.091,22490.324,21551.767,11382.345,31950.91
"Algeria","1000 No",2021,44761.099,22848.428,21912.671,11317.455,32651.848
"Algeria","1000 No",2022,45477.389,23206.875,22270.515,11247.753,33336.714
"American Samoa","1000 No",2017,51.586,26.18,25.406,7.139,48.502
"American Samoa","1000 No",2018,50.908,25.811,25.098,7.153,48.526
"American Samoa","1000 No",2019,50.209,25.422,24.788,7.162,48.565
"American Samoa","1000 No",2020,49.761,25.17,24.591,7.169,48.63
"American Samoa","1000 No",2021,49.225,24.888,24.337,7.172,48.727
"American Samoa","1000 No",2022,48.342,24.43,23.912,7.172,48.843
"Andorra","1000 No",2017,73.763,37.398,36.364,9.12,67.845
"Andorra","1000 No",2018,75.162,38.203,36.959,9.187,67.766
"Andorra","1000 No",2019,76.474,38.914,37.559,9.261,67.811
"Andorra","1000 No",2020,77.38,39.386,37.994,9.327,67.857
"Andorra","1000 No",2021,78.364,40.011,38.353,9.383,67.893
"Andorra","1000 No",2022,79.705,40.793,38.912,9.434,67.958
"Angola","1000 No",2017,30234.839,14938.928,15295.91,10472.554,19311.639
"Angola","1000 No",2018,31297.155,15467.791,15829.363,10612.667,20161.538
"Angola","1000 No",2019,32375.632,16004.756,16370.877,10751.626,21035.94
"Angola","1000 No",2020,33451.132,16539.639,16911.494,10890.448,21936.953
"Angola","1000 No",2021,34532.429,17077.372,17455.057,11029.326,22865.158
"Angola","1000 No",2022,35635.029,17626.416,18008.612,11168.041,23820.261
"Anguilla","1000 No",2017,14.425,7.059,7.365,0,14.909
"Anguilla","1000 No",2018,14.721,7.21,7.511,0,15.045
"Anguilla","1000 No",2019,14.823,7.256,7.567,0,15.174
"Anguilla","1000 No",2020,14.843,7.257,7.586,0,15.283
"Anguilla","1000 No",2021,14.475,7.053,7.421,0,15.38
"Anguilla","1000 No",2022,14.18,6.89,7.29,0,15.456
"Antigua and Barbuda","1000 No",2017,90.468,42.969,47.498,76.802,25.21
"Antigua and Barbuda","1000 No",2018,90.926,43.2,47.726,77.7,25.35
"Antigua and Barbuda","1000 No",2019,91.364,43.424,47.94,78.577,25.507
