Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","104.42","consolidated General Government"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2007","2007","million USD","246.11","consolidated General Government"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","275.99","consolidated General Government"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","380.61","consolidated General Government"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","603.87","consolidated General Government"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","243.07","consolidated General Government"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","311.85","consolidated General Government"
"IG","Government Expenditure","004","Afghanistan","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","288.42","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2001","2001","million USD","37.98","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2002","2002","million USD","51.07","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2003","2003","million USD","40.32","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2004","2004","million USD","45.76","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2005","2005","million USD","49.63","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","57.04","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2007","2007","million USD","68.22","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","69.12","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","65.83","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","60.22","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","62.27","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","54.91","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","64.78","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","67.44","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","65.95","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","101.06","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","84.11","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","95.66","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","90.63","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","102.47","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","158.23","consolidated General Government"
"IG","Government Expenditure","008","Albania","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","146.52","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2001","2001","million USD","51.28","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2002","2002","million USD","27.19","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2003","2003","million USD","55.54","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2004","2004","million USD","75.31","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2005","2005","million USD","175.91","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","300.66","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2007","2007","million USD","648.36","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","719.5","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","226.05","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","374.83","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","513.51","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","436.25","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","708.14","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","515.32","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","255.46","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","212.11","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","205.59","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","148.47","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","258.7","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","125.57","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","167.77","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","359.48","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","100.18","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","108.78","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","115.94","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","56.72","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","46.05","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","51.15","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","73.66","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","102.33","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","79.57","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","56.37","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","69.62","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","68.99","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","95.63","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","147.99","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2001","2001","million USD","1915.75","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2002","2002","million USD","2070.02","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2003","2003","million USD","2616.88","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2004","2004","million USD","2989.51","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2005","2005","million USD","2749.2","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","3567.09","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2007","2007","million USD","4249.11","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","5260.96","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","4120.3","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","4790.12","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","5125.52","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","4924.41","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","4280.57","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","3730.07","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","2908.89","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","3108.8","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","3218.99","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","3198.57","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","3210.97","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","3233.81","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","4105.24","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","3776.19","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2001","2001","million USD","1160.38","consolidated General Government"
